DKUBU,TID,CODE,VCODE,VENDOR,WCODE,MAKERNAME,TDATE,EDATE,TVOL,TEMA,SPRICE,PRICE,TAXRATE,TAXKUBU,SOUKINGAKU,SOUSUUIN,APRICE,HOKAN,NOTE,SYSNOTE,INPUTDATE,INPUTUSER,KARIKBN,MITSUMORINO,PCAPA,TANI3,IKOUFLAG
New,,PA10227,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100,,40.00 ,40.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10249,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100,,59.00 ,59.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10524,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100,,37.00 ,37.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10527,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100,,28.00 ,28.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10630,,1000128,,東北物流株式会社,2026/6/1,99/99/99,10,,708.00 ,708.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10630,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100,,167.00 ,167.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10631,,1000128,,東北物流株式会社,2026/6/1,99/99/99,40,,70.00 ,70.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10631,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100,,27.00 ,27.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10632,,1000128,,東北物流株式会社,2026/6/1,99/99/99,40,,212.00 ,212.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10632,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100,,71.00 ,71.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10649,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100,,46.00 ,46.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10709,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100,,215.00 ,215.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10734,,1000128,,東北物流株式会社,2026/6/1,99/99/99,10,,"1,038.00 ","1,038.00 ",,,,,,,,,,,,2026062401,,,
New,,PA10734,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100,,342.00 ,342.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10736,,1000128,,東北物流株式会社,2026/6/1,99/99/99,10,,209.00 ,209.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10736,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100,,37.00 ,37.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10738,,1000128,,東北物流株式会社,2026/6/1,99/99/99,50,,19.00 ,19.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10756,,1000128,,東北物流株式会社,2026/6/1,99/99/99,10,,765.00 ,765.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10756,,1000128,,東北物流株式会社,2026/6/1,99/99/99,50,,254.00 ,254.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10778,,1000128,,東北物流株式会社,2026/6/1,99/99/99,30,,283.00 ,283.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10778,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100,,323.00 ,323.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10782,,1000128,,東北物流株式会社,2026/6/1,99/99/99,50.00,,375.00 ,375.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10782,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,351.00 ,351.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10785,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,351.00 ,351.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10787,,1000128,,東北物流株式会社,2026/6/1,99/99/99,50.00,,320.00 ,320.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10787,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,261.00 ,261.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10837,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,181.00 ,181.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10862,,1000128,,東北物流株式会社,2026/6/1,99/99/99,30.00,,570.00 ,570.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10862,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,231.00 ,231.00 ,,,,,,,,,,,,2026062401,,,
New,,PA10879,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,260.00 ,260.00 ,,,,,,,,,,,,2026062401,,,
