"OldName","NewName","Status"
"[BixLink]印字内容変更25_06","BixLink_印字内容変更2506","変換"
"[BixLink]価格改定25_06","BixLink_価格改定2506","変換"
"[BixLink]価格改定26_01","BixLink_価格改定2601","変換"
"[BixLink]価格改定26_03","BixLink_価格改定2603","変換"
"[BixLink]製造中止25_05","BixLink_製造中止2505","変換"
"[Cypress]価格改定25_03","Cypress_価格改定2503","変換"
"[DDK]価格改定25_05","DDK_価格改定2505","変換"
"[DDK]価格改定25_07","DDK_価格改定2507","変換"
"[Diodes]製造中止25_09","Diodes_製造中止2509","変換"
"[DMC]価格改定25_07","DMC_価格改定2507","変換"
"[DMC]製造中止25_06","DMC_製造中止2506","変換"
"[IDEC]パック販売中止25_08","IDEC_パック販売中止2508","変換"
"[Infineon]ウエハーテストサイト追加26_09_2024-215-A","Infineon_ウエハーテストサイト追加2609_2024-215-A","変換"
"[infineon]データシート更新25_07_113587","infineon_データシート更新2507_113587","変換"
"[infineon]材料変更25_08_110758","infineon_材料変更2508_110758","変換"
"[Infineon]生産工場追加26_06_2025-195-A","Infineon_生産工場追加2606_2025-195-A","変換"
"[Infineon]製造中止25_12_PD_196_25","Infineon_製造中止2512_PD_196_25","変換"
"[JST]価格改定25_12","JST_価格改定2512","変換"
"[KEL]価格改定25_08","KEL_価格改定2508","変換"
"[Kingbright]湿度表示カード変更25_01","Kingbright_湿度表示カード変更2501","変換"
"[Kingbright]新工場設立25_06","Kingbright_新工場設立2506","変換"
"[KITZ]価格改定25_06","KITZ_価格改定2506","変換"
"[KOA]価格改定25_07_2204改定_追加","KOA_価格改定2507_2204改定_追加","変換"
"[KOA]価格改定26_05","KOA_価格改定2605","変換"
"[KOA]製造中止27_03","KOA_製造中止2703","変換"
"[KOA]中国工場移転25_10","KOA_中国工場移転2510","変換"
"[Lattice]価格改定25_01","Lattice_価格改定2501","変換"
"[LEMO]デンジャーシール貼り付け廃止25_03","LEMO_デンジャーシール貼り付け廃止2503","変換"
"[LittelFuse]価格改定25_06","LittelFuse_価格改定2506","変換"
"[Macronix]価格改定26_01","Macronix_価格改定2601","変換"
"[Microchip]ダイアタッチ材料新規認定25_10_DSNO-07AOWZ935","Microchip_ダイアタッチ材料新規認定2510_DSNO-07AOWZ935","変換"
"[Microchip]ラベル仕様変更25_07","Microchip_ラベル仕様変更2507","変換"
"[Microchip]ラベル表示変更25_07_114005","Microchip_ラベル表示変更2507_114005","変換"
"[Microchip]ワイヤー材料変更25_07_113920","Microchip_ワイヤー材料変更2507_113920","変換"
"[Microchip]ワイヤー材料変更25_08","Microchip_ワイヤー材料変更2508","変換"
"[Microchip]価格改定25_06","Microchip_価格改定2506","変換"
"[Microchip]後工程工場新規認定26_05","Microchip_後工程工場新規認定2605","変換"
"[Microchip]工場認定25_10_PCN111024","Microchip_工場認定2510_PCN111024","変換"
"[Microchip]梱包ラベル表記変更25_07","Microchip_梱包ラベル表記変更2507","変換"
"[Microchip]材料新規認定25_05","Microchip_材料新規認定2505","変換"
"[Microchip]材料新規認定25_09_CENO-16EGCZ399","Microchip_材料新規認定2509_CENO-16EGCZ399","変換"
"[Microchip]材料新規認定26_04","Microchip_材料新規認定2604","変換"
"[Microchip]材料新規認定26_06","Microchip_材料新規認定2606","変換"
"[Microchip]材料新規認定26_09","Microchip_材料新規認定2609","変換"
"[Microchip]材料追加25_08","Microchip_材料追加2508","変換"
"[Microchip]材料追加25_09","Microchip_材料追加2509","変換"
"[Microchip]材料変更25_06","Microchip_材料変更2506","変換"
"[Microchip]材料変更25_07","Microchip_材料変更2507","変換"
"[Microchip]材料変更25_09","Microchip_材料変更2509","変換"
"[Microchip]材料変更25_09_116107","Microchip_材料変更2509_116107","変換"
"[Microchip]材料変更25_09_CENO-16EGCZ399","Microchip_材料変更2509_CENO-16EGCZ399","変換"
"[Microchip]材料変更26_04","Microchip_材料変更2604","変換"
"[Microchip]製造拠点変更25_11","Microchip_製造拠点変更2511","変換"
"[Microchip]製造拠点変更25_11_ALAN-16SLVL366","Microchip_製造拠点変更2511_ALAN-16SLVL366","変換"
"[Microchip]前工程工場新規認定25_07","Microchip_前工程工場新規認定2507","変換"
"[Microchip]前工程工場新規認定25_11","Microchip_前工程工場新規認定2511","変換"
"[Microchip]前工程工場新規認定25_11ALAN-16SLVL366","Microchip_前工程工場新規認定2511ALAN-16SLVL366","変換"
"[Micron]価格改定25_05","Micron_価格改定2505","変換"
"[Micron]後工程工場追加25_01_34947","Micron_後工程工場追加2501_34947","変換"
"[Micron]工場追加25_12","Micron_工場追加2512","変換"
"[Micron]工場変更27_03","Micron_工場変更2703","変換"
"[Micron]製造中止26_08","Micron_製造中止2608","変換"
"[Micron]製造中止26_08_36228","Micron_製造中止2608_36228","変換"
