"OldName","NewName","CollisionWithExisting"
"[Analog Devices]テスト工程追加25_0725_0100","Analog Devices_テスト工程追加250725_0100","False"
"[Analog Devices]データシート更新25_10_PCN 25_0067","Analog Devices_データシート更新2510_PCN 25_0067","False"
"[Analog Devices]ボンドワイヤ変更25_05PCN 25_0017","Analog Devices_ボンドワイヤ変更2505PCN 25_0017","False"
"[Analog Devices]ボンドワイヤ変更25_05_PCN 25_0016","Analog Devices_ボンドワイヤ変更2505_PCN 25_0016","False"
"[Analog Devices]マーキング変更25_01","Analog Devices_マーキング変更2501","False"
"[Analog Devices]マーキング変更25_01_24_0236","Analog Devices_マーキング変更2501_24_0236","False"
"[Analog Devices]マーキング変更25_01_24_0246","Analog Devices_マーキング変更2501_24_0246","False"
"[Analog Devices]価格改定25_08","Analog Devices_価格改定2508","False"
"[Analog Devices]価格改定25_11","Analog Devices_価格改定2511","False"
"[Analog Devices]前工程工場追加25_09_25_0091","Analog Devices_前工程工場追加2509_25_0091","False"
"[Analog Devices]前工程工場追加26_01","Analog Devices_前工程工場追加2601","False"
"[Analog Devices]前工程工場追加26_05_26_0028","Analog Devices_前工程工場追加2605_26_0028","False"
"[Analog Devices]印字レイアウト変更25_01_24_0246","Analog Devices_印字レイアウト変更2501_24_0246","False"
"[Analog Devices]梱包形態変更26_02_260216PACKING","Analog Devices_梱包形態変更2602_260216PACKING","False"
"[BixLink]価格改定25_06","BixLink_価格改定2506","False"
"[BixLink]価格改定26_01","BixLink_価格改定2601","False"
"[BixLink]価格改定26_03","BixLink_価格改定2603","False"
"[BixLink]印字内容変更25_06","BixLink_印字内容変更2506","False"
"[BixLink]製造中止25_05","BixLink_製造中止2505","False"
"[Broadcom]材料変更(その他) ダイの変更25_04_PCN-288778","Broadcom_材料変更(その他) ダイの変更2504_PCN-288778","False"
"[Cypress]価格改定25_03","Cypress_価格改定2503","False"
"[DDK]価格改定25_05","DDK_価格改定2505","False"
"[DDK]価格改定25_07","DDK_価格改定2507","False"
"[Diodes]製造中止25_09","Diodes_製造中止2509","False"
"[DMC]価格改定25_07","DMC_価格改定2507","False"
"[DMC]製造中止25_06","DMC_製造中止2506","False"
"[IDEC]パック販売中止25_08","IDEC_パック販売中止2508","False"
"[Infineon]ウエハーテストサイト追加26_09_2024-215-A","Infineon_ウエハーテストサイト追加2609_2024-215-A","False"
"[infineon]データシート更新25_07_113587","infineon_データシート更新2507_113587","False"
"[infineon]材料変更25_08_110758","infineon_材料変更2508_110758","False"
"[Infineon]生産工場追加26_06_2025-195-A","Infineon_生産工場追加2606_2025-195-A","False"
"[Infineon]製造中止25_12_PD_196_25","Infineon_製造中止2512_PD_196_25","False"
"[JST]価格改定25_12","JST_価格改定2512","False"
"[KEL]コンタクト,固定金具メッキ変更25_07","KEL_コンタクト,固定金具メッキ変更2507","False"
"[KEL]価格改定25_08","KEL_価格改定2508","False"
"[Kingbright]新工場設立25_06","Kingbright_新工場設立2506","False"
"[Kingbright]湿度表示カード変更25_01","Kingbright_湿度表示カード変更2501","False"
"[KITZ]価格改定25_06","KITZ_価格改定2506","False"
"[KOA]中国工場移転25_10","KOA_中国工場移転2510","False"
"[KOA]価格改定25_07_2204改定_追加","KOA_価格改定2507_2204改定_追加","False"
"[KOA]価格改定26_05","KOA_価格改定2605","False"
"[KOA]製造中止27_03","KOA_製造中止2703","False"
"[Lattice]価格改定25_01","Lattice_価格改定2501","False"
"[LEMO]デンジャーシール貼り付け廃止25_03","LEMO_デンジャーシール貼り付け廃止2503","False"
"[LittelFuse]価格改定25_06","LittelFuse_価格改定2506","False"
"[Macronix]価格改定26_01","Macronix_価格改定2601","False"
"[Microchip]ダイアタッチ材料新規認定25_10_DSNO-07AOWZ935","Microchip_ダイアタッチ材料新規認定2510_DSNO-07AOWZ935","False"
"[Microchip]ラベル仕様変更25_07","Microchip_ラベル仕様変更2507","False"
"[Microchip]ラベル表示変更25_07_114005","Microchip_ラベル表示変更2507_114005","False"
"[Microchip]ワイヤー材料変更25_07_113920","Microchip_ワイヤー材料変更2507_113920","False"
"[Microchip]ワイヤー材料変更25_08","Microchip_ワイヤー材料変更2508","False"
"[Microchip]価格改定25_06","Microchip_価格改定2506","False"
"[Microchip]前工程工場新規認定25_07","Microchip_前工程工場新規認定2507","False"
"[Microchip]前工程工場新規認定25_11","Microchip_前工程工場新規認定2511","False"
"[Microchip]前工程工場新規認定25_11ALAN-16SLVL366","Microchip_前工程工場新規認定2511ALAN-16SLVL366","False"
"[Microchip]工場認定25_10_PCN111024","Microchip_工場認定2510_PCN111024","False"
"[Microchip]後工程工場新規認定26_05","Microchip_後工程工場新規認定2605","False"
"[Microchip]材料変更25_06","Microchip_材料変更2506","False"
"[Microchip]材料変更25_07","Microchip_材料変更2507","False"
"[Microchip]材料変更25_09","Microchip_材料変更2509","False"
"[Microchip]材料変更25_09_116107","Microchip_材料変更2509_116107","False"
"[Microchip]材料変更25_09_CENO-16EGCZ399","Microchip_材料変更2509_CENO-16EGCZ399","False"
"[Microchip]材料変更25_09_PCN# 114582","Microchip_材料変更2509_PCN# 114582","False"
"[Microchip]材料変更26_04","Microchip_材料変更2604","False"
"[Microchip]材料新規認定25_05","Microchip_材料新規認定2505","False"
"[Microchip]材料新規認定25_09_CENO-16EGCZ399","Microchip_材料新規認定2509_CENO-16EGCZ399","False"
"[Microchip]材料新規認定26_04","Microchip_材料新規認定2604","False"
"[Microchip]材料新規認定26_06","Microchip_材料新規認定2606","False"
"[Microchip]材料新規認定26_09","Microchip_材料新規認定2609","False"
"[Microchip]材料追加25_08","Microchip_材料追加2508","False"
"[Microchip]材料追加25_09","Microchip_材料追加2509","False"
"[Microchip]梱包ラベル表記変更25_07","Microchip_梱包ラベル表記変更2507","False"
"[Microchip]製造拠点変更25_11","Microchip_製造拠点変更2511","False"
"[Microchip]製造拠点変更25_11_ALAN-16SLVL366","Microchip_製造拠点変更2511_ALAN-16SLVL366","False"
"[Micron]価格改定25_05","Micron_価格改定2505","False"
"[Micron]工場変更27_03","Micron_工場変更2703","False"
"[Micron]工場追加25_12","Micron_工場追加2512","False"
"[Micron]後工程工場追加25_01_34947","Micron_後工程工場追加2501_34947","False"
"[Micron]組み立て工場追加25_01","Micron_組み立て工場追加2501","False"
"[Micron]製造中止26_08","Micron_製造中止2608","False"
"[Micron]製造中止26_08_36228","Micron_製造中止2608_36228","False"
"[Molex]価格改定25_07","Molex_価格改定2507","False"
"[MOLEX]価格改定25_12_IDEX","MOLEX_価格改定2512_IDEX","False"
"[Molex]価格改定26_04_IDEX","Molex_価格改定2604_IDEX","False"
"[NECプラットフォームズ]製造中止26_09","NECプラットフォームズ_製造中止2609","False"
"[Nexperia]後工程工場追加25_03","Nexperia_後工程工場追加2503","False"
"[NIDEC]価格改定26_03","NIDEC_価格改定2603","False"
"[NIDEC]価格改定26_04","NIDEC_価格改定2604","False"
"[NKKスイッチズ]接着剤変更25_09","NKKスイッチズ_接着剤変更2509","False"
"[NXP]MEMS製品事業移管26_04","NXP_MEMS製品事業移管2604","False"
"[NXP]エラッタシート更新25_10","NXP_エラッタシート更新2510","False"
"[NXP]ラベル表示変更25_08","NXP_ラベル表示変更2508","False"
"[NXP]ロゴ変更25_02_202502001G","NXP_ロゴ変更2502_202502001G","False"
"[NXP]後工程工場追加26_03","NXP_後工程工場追加2603","False"
"[NXP]製造中止26_04","NXP_製造中止2604","False"
"[NXP]製造工程_材料変更25_09","NXP_製造工程_材料変更2509","False"
"[O2マイクロ]ボンディンワイヤ材変更25_12","O2マイクロ_ボンディンワイヤ材変更2512","False"
"[OMRON]価格改定26_02","OMRON_価格改定2602","False"
"[On Semiconductor]価格改定25_03","On Semiconductor_価格改定2503","False"
"[Onsemi]モールドコンパウンド材追加25_01_FPCN25897X","Onsemi_モールドコンパウンド材追加2501_FPCN25897X","False"
"[Panasonic]ECQUシリーズ製造中止25_03","Panasonic_ECQUシリーズ製造中止2503","False"
"[Panasonic]カバーテープ貼付け方法変更25_10","Panasonic_カバーテープ貼付け方法変更2510","False"
"[Panasonic]最小発注単位変更25_10","Panasonic_最小発注単位変更2510","False"
"[Panasonic]製造中止25_09","Panasonic_製造中止2509","False"
"[Panasonic]製造中止26_03","Panasonic_製造中止2603","False"
"[Panasonic]製造中止26_09","Panasonic_製造中止2609","False"
"[Panasonic]規格(VDE)ファイルNo変更25_04","Panasonic_規格(VDE)ファイルNo変更2504","False"
"[Panduit]価格改定25_05","Panduit_価格改定2505","False"
"[Panduit]価格改定25_10","Panduit_価格改定2510","False"
"[Panduit]価格改定26_04","Panduit_価格改定2604","False"
"[Pulse]ﾌﾟﾗｽﾁｯｸ材料変更26_06_PCN-100000760","Pulse_ﾌﾟﾗｽﾁｯｸ材料変更2606_PCN-100000760","False"
"[Renesas]インナーラベル記載変更26_02","Renesas_インナーラベル記載変更2602","False"
"[Renesas]インナーラベル記載変更26_02_GTP-14126","Renesas_インナーラベル記載変更2602_GTP-14126","False"
"[Renesas]ウエハー製造プロセス変更26_01_GTP-14039","Renesas_ウエハー製造プロセス変更2601_GTP-14039","False"
"[Renesas]ダイアタッチ材変更25_03_EP1OP-AB-24-0054-1","Renesas_ダイアタッチ材変更2503_EP1OP-AB-24-0054-1","False"
"[Renesas]ダイアタッチ材変更25_05","Renesas_ダイアタッチ材変更2505","False"
"[Renesas]リードフレーム材追加25_04_EP1OP-AB-24-0056-1","Renesas_リードフレーム材追加2504_EP1OP-AB-24-0056-1","False"
"[Renesas]価格改定_代替提案25_07","Renesas_価格改定_代替提案2507","False"
"[Renesas]前工程工場追加26_02_EPPO2-EX-25-0074","Renesas_前工程工場追加2602_EPPO2-EX-25-0074","False"
"[Renesas]梱包形態変更25_01_PC-MCU-A032AJ","Renesas_梱包形態変更2501_PC-MCU-A032AJ","False"
"[Renesas]製造中止25_06_SAF-B-25-0001","Renesas_製造中止2506_SAF-B-25-0001","False"
